method,cell_type_score,modality_score,batch_score
LigerINMF,-0.06768963610069716,0.9966321398412774,1.0009191683227565
LigerINMF,-0.04481868804398946,0.9973260150880662,1.0047312383843086
Liger,0.0036496297551262043,0.9941431363704285,1.0025930693951257
LigerINMF,-0.08618595656900915,0.9958887474468248,1.003179153432015
Liger,-0.008264584090818462,0.9922606959300374,1.0018557562885577
LigerINMF,-0.05284568736324743,0.9971211401372473,1.0024224583503674
LigerINMF,-0.06595544821332855,0.9968981422660813,1.002975095010102
LigerINMF,-0.06201137065125149,0.9960476987803634,1.0018139604453524
Liger,-0.009609974719483973,0.9915732258775096,1.0020495755103986
Liger,-0.007900133532765582,0.9934419482220774,1.0047785111589544
Liger,-0.015003129653310392,0.9906593617447094,1.0037727706488648
Liger,-0.046523109262627024,0.9857783627987786,1.0011417695826221
Liger,-0.012683818386771361,0.9915332916306686,1.0028834097637158
Liger,0.009953643604687796,0.9937112571963025,1.0018797355981448
LigerINMF,-0.052142993936070414,0.9966965701766521,1.0031092773910324
LigerINMF,-0.08661276410503246,0.997022662909222,1.0050884505293742
bindSC,0.04736702280243821,0.9961733931051167,0.9895770418025158
Seurat,-0.038140764093730954,0.9448424733985354,1.0069581123900706
SiaNN,0.187093041987963,0.9959199573454022,0.9954360077396395
