method,total,CD4 Naive,CD4 TCM,CD8 Naive,CD16 Mono,NK,Treg,CD14 Mono,cDC,CD8 TEM_1,Intermediate B,Naive B,Plasma,CD4 TEM,MAIT,Memory B,gdT,pDC,CD8 TEM_2,HSPC
Liger,0.8022474068382636,0.9020436927413672,0.7876414273281114,0.9184397163120568,0.4844357976653697,0.8974358974358975,0.006172839506172839,0.9409672830725462,0.6515151515151515,0.4523076923076923,0.9036827195467422,0.056338028169014086,0.0,0.6375838926174496,0.29927007299270075,0.8652291105121294,0.19863013698630136,0.9716981132075472,0.7513966480446927,0.038461538461538464
Liger,0.7938916634652324,0.8534178999295279,0.7911227154046997,0.946099290780142,0.5175097276264592,0.9401709401709402,0.0,0.9288762446657184,0.6818181818181818,0.3969230769230769,0.8101983002832861,0.24647887323943665,0.0,0.4966442953020134,0.5328467153284672,0.8490566037735849,0.0684931506849315,0.981132075471698,0.7150837988826816,0.1153846153846154
Liger,0.8079139454475605,0.9027484143763214,0.7258485639686684,0.9368794326241134,0.42217898832684825,0.9273504273504274,0.2469135802469136,0.945945945945946,0.6414141414141414,0.5569230769230771,0.8725212464589235,0.4225352112676056,0.0,0.6140939597315436,0.6642335766423357,0.8382749326145552,0.18493150684931506,0.9716981132075472,0.6536312849162011,0.0
Liger,0.7454859777180177,0.40662438336856943,0.8050478677110531,0.9815602836879432,0.546692607003891,0.8952991452991453,0.08024691358024691,0.942389758179232,0.6868686868686869,0.4676923076923077,0.8045325779036827,0.2676056338028169,0.0,0.3322147651006712,0.5328467153284672,0.8625336927223721,0.3082191780821918,0.981132075471698,0.7318435754189944,0.0
Liger,0.8066653860929697,0.8801973220577872,0.7597911227154047,0.9375886524822696,0.5330739299610895,0.9252136752136751,0.0,0.9206970128022759,0.6868686868686869,0.4830769230769231,0.7563739376770539,0.3309859154929577,0.0,0.7114093959731543,0.6861313868613139,0.8598382749326146,0.2465753424657534,0.9716981132075472,0.7793296089385475,0.3461538461538461
Liger,0.7486553976181329,0.9217758985200846,0.7249782419495213,0.6794326241134752,0.4766536964980545,0.8974358974358975,0.0,0.9409672830725462,0.5404040404040404,0.3692307692307693,0.7988668555240793,0.2746478873239437,0.0,0.2785234899328859,0.7153284671532847,0.8382749326145552,0.10273972602739724,0.981132075471698,0.6312849162011173,0.0
Liger,0.8059930849020361,0.8773784355179705,0.8755439512619669,0.9411347517730496,0.5486381322957199,0.8974358974358975,0.0,0.9413229018492176,0.6868686868686869,0.4707692307692308,0.7620396600566572,0.2605633802816901,0.0,0.2348993288590604,0.4379562043795621,0.8544474393530997,0.06164383561643835,0.981132075471698,0.8659217877094972,0.0
Liger,0.7927391471379178,0.8470754052149401,0.8163620539599652,0.949645390070922,0.4688715953307393,0.9294871794871796,0.2654320987654321,0.9164295874822191,0.6111111111111112,0.4523076923076923,0.8583569405099151,0.09859154929577464,0.0,0.436241610738255,0.6131386861313869,0.7439353099730458,0.273972602739726,0.9905660377358492,0.6955307262569832,0.38461538461538464
Seurat,0.8923357664233577,0.9390000000000001,0.8290000000000001,0.987,0.7020000000000001,0.9420000000000001,0.79,0.927,0.636,0.757,0.943,0.8240000000000001,0.833,0.852,0.912,0.9540000000000001,0.32899999999999996,0.9620000000000001,0.9359999999999999,0.846
SiaNN,0.8241452170572416,0.7498238195912614,0.8233246301131418,0.8879432624113475,0.7782101167315175,0.9529914529914528,0.08024691358024691,0.9704836415362732,0.7222222222222222,0.5815384615384616,0.8441926345609065,0.17605633802816897,0.5555555555555556,0.5134228187919463,0.6934306569343066,0.8840970350404312,0.4246575342465753,0.981132075471698,0.8435754189944135,0.8461538461538461
bindSC,0.8705339992316558,0.8809020436927414,0.8276762402088773,0.9631205673758864,0.8073929961089494,0.9551282051282052,0.7098765432098766,0.9676386913229018,0.6717171717171717,0.3630769230769231,0.9518413597733713,0.13380281690140844,0.0,0.7550335570469798,0.8467153284671532,0.8894878706199459,0.4863013698630137,1.0,0.9189944134078212,0.9230769230769232
