method,foscttm
bindSC,0.05145818811268478
Seurat,0.06590637277032958
siaNN,0.06986498372323433
Liger,0.078723117361111
Liger,0.08396710170259235
Liger,0.08624597434710297
Liger,0.08838668597907583
Liger,0.09014072572664686
Liger,0.09233938417934093
Liger,0.09250637101402988
Liger,0.09441205764677389
