method,cell_type_score,modality_score,batch_score
bindSC,0.07352319087473293,0.9977718272224224,0
Liger,0.10195505832972922,0.9982441313928229,0
Liger,0.09136253496530533,0.9980402251131566,0
Liger,0.11571460243362255,0.9991814965664799,0
SiaNN,0.26223464983231914,0.9973674015824328,0
Liger,0.10581302046054268,0.9987524442022948,0
Liger,0.0715354139986081,0.9975769869417845,0
Liger,0.12819290572280878,0.9987930695251716,0
Liger,0.09152379304660899,0.9978540929058629,0
Liger,0.09859746987241658,0.9973977366863217,0
Seurat,0.3607159739033935,0.9984215267616238,0
