method,total,NK,CD8+ T,CD4+ T naive,CD4+ T activated,Naive CD20+ B,Normoblast,B1 B,CD14+ Mono,ILC,cDC2,Erythroblast,pDC,MK/E prog,ID2-hi myeloid prog,CD16+ Mono,Proerythroblast,Transitional B,Lymph prog,G/M prog,Plasma cell,HSC,CD8+ T naive
LigerOnline (UMAP),0.36421935377785086,0.0014534883720930232,0.6587473002159827,0.2630732099758649,0.30324909747292417,0.7448559670781894,0.0,0.21145374449339208,0.8983700862895494,0.006696428571428571,0.0,0.004158004158004158,0.002336448598130841,0.0,0.0,0.13846153846153847,0.0,0.031073446327683617,0.004310344827586207,0.23980815347721826,0.0,0.0,0.5306748466257669
LigerOnline (UMAP),0.37145441091835896,0.0007267441860465116,0.6479481641468683,0.5301689460981497,0.12755716004813478,0.7654320987654321,0.0,0.039647577092511016,0.8844678811121764,0.011160714285714286,0.0,0.002079002079002079,0.002336448598130841,0.011627906976744186,0.0,0.10256410256410256,0.0,0.02259887005649717,0.01293103448275862,0.15587529976019185,0.0,0.0,0.6165644171779141
LigerOnline (UMAP),0.3333059278138617,0.0,0.5280777537796977,0.17779565567176187,0.2527075812274368,0.6913580246913579,0.0,0.14537444933920704,0.8624161073825504,0.002232142857142857,0.0,0.002079002079002079,0.009345794392523364,0.005813953488372093,0.0,0.15384615384615385,0.0,0.02259887005649717,0.02155172413793104,0.3405275779376499,0.0,0.0,0.7822085889570553
Liger,0.43007481706815753,0.0,0.7532397408207343,0.5518905872888173,0.18892900120336945,0.8518518518518519,0.0,0.039647577092511016,0.9506232023010548,0.002232142857142857,0.00625,0.002079002079002079,0.0,0.0,0.0,0.3948717948717949,0.0,0.03389830508474576,0.0,0.4172661870503597,0.0,0.0,0.7484662576687117
Liger,0.40245005344076296,0.0,0.7176025917926566,0.582461786001609,0.2851985559566787,0.8251028806584362,0.0,0.10572687224669604,0.8374880153403643,0.0,0.0,0.004158004158004158,0.0,0.005813953488372093,0.0,0.09743589743589744,0.0,0.01977401129943503,0.0,0.3669064748201439,0.0,0.0,0.7116564417177914
Liger,0.4333634794047521,0.0,0.7294816414686826,0.5977473853580049,0.2779783393501805,0.8271604938271605,0.0,0.11894273127753305,0.9813039309683604,0.002232142857142857,0.0,0.0,0.0,0.005813953488372093,0.0,0.07948717948717947,0.0,0.02824858757062147,0.0,0.4436450839328537,0.0,0.0,0.7423312883435583
Liger,0.435254460248294,0.0,0.6744060475161987,0.6564762670957361,0.2695547533092659,0.8209876543209876,0.0,0.1013215859030837,0.9501438159156279,0.0,0.0,0.0062370062370062365,0.0,0.0,0.0,0.3487179487179487,0.0,0.01694915254237288,0.0,0.4628297362110312,0.0,0.0,0.8067484662576687
Liger,0.42399079174545756,0.0,0.6592872570194385,0.6162510056315366,0.2647412755716005,0.8930041152263375,0.0,0.08370044052863436,0.9741131351869609,0.002232142857142857,0.0,0.002079002079002079,0.0,0.005813953488372093,0.0,0.1153846153846154,0.008196721311475409,0.014124293785310734,0.0,0.3764988009592326,0.0,0.0,0.7791411042944786
Liger,0.4382142563512291,0.0,0.7564794816414687,0.7176186645213194,0.006016847172081829,0.8744855967078189,0.0,0.07048458149779736,0.9635666347075744,0.0,0.0,0.002079002079002079,0.0,0.0,0.0,0.3025641025641025,0.0,0.011299435028248588,0.004310344827586207,0.4676258992805755,0.04166666666666666,0.0,0.8006134969325154
Liger,0.4424895173888021,0.0,0.7305615550755942,0.7610619469026548,0.12394705174488567,0.8353909465020576,0.0,0.0881057268722467,0.9630872483221476,0.002232142857142857,0.0,0.0,0.0,0.0,0.0,0.2871794871794872,0.0,0.031073446327683617,0.004310344827586207,0.41247002398081534,0.08333333333333333,0.0,0.7546012269938649
Liger,0.4336923456384116,0.0,0.6916846652267818,0.7361222847948512,0.2322503008423586,0.8374485596707819,0.0,0.07929515418502202,0.9539789069990412,0.0,0.0,0.0062370062370062365,0.0,0.0,0.0,0.2358974358974359,0.0,0.014124293785310734,0.004310344827586207,0.26618705035971224,0.0,0.0,0.7944785276073619
Liger (UMAP),0.41741346707226834,0.0,0.7240820734341252,0.5253419147224457,0.2250300842358604,0.7325102880658436,0.0,0.14537444933920704,0.9558964525407478,0.002232142857142857,0.0,0.002079002079002079,0.0,0.0,0.0,0.1717948717948718,0.0,0.014124293785310734,0.004310344827586207,0.4892086330935252,0.0,0.0,0.7177914110429447
Liger (UMAP),0.3739209076708049,0.0,0.6290496760259179,0.499597747385358,0.4259927797833935,0.6728395061728395,0.0,0.22466960352422907,0.7641418983700863,0.0,0.0,0.004158004158004158,0.0,0.0,0.0,0.13076923076923078,0.0,0.014124293785310734,0.0,0.3237410071942446,0.125,0.0,0.7361963190184049
Liger (UMAP),0.41346707226835483,0.0,0.6636069114470843,0.5518905872888173,0.2972322503008424,0.5864197530864198,0.0,0.2599118942731278,0.9659635666347076,0.002232142857142857,0.0,0.0,0.002336448598130841,0.005813953488372093,0.0,0.05897435897435897,0.0,0.014124293785310734,0.0,0.5251798561151079,0.04166666666666666,0.0,0.7883435582822086
Liger (UMAP),0.4055742826605278,0.0,0.6241900647948164,0.5985518905872889,0.2503008423586041,0.6069958847736625,0.0,0.20704845814977973,0.9453499520613614,0.004464285714285714,0.0,0.004158004158004158,0.0,0.0,0.0,0.11282051282051282,0.0,0.011299435028248588,0.004310344827586207,0.4676258992805755,0.08333333333333333,0.0,0.8006134969325154
Liger (UMAP),0.4108361423990792,0.0007267441860465116,0.7424406047516199,0.5213193885760258,0.09987966305655836,0.8106995884773662,0.0,0.31277533039647576,0.9587727708533078,0.002232142857142857,0.0,0.004158004158004158,0.0,0.0,0.0,0.1153846153846154,0.0,0.00847457627118644,0.0,0.2565947242206235,0.0,0.0,0.8190184049079755
Liger (UMAP),0.4314724985612102,0.0,0.7602591792656588,0.6621078037007241,0.007220216606498195,0.7592592592592593,0.0,0.18502202643171808,0.9453499520613614,0.0,0.0,0.0,0.0,0.0,0.0,0.3564102564102564,0.0,0.00847457627118644,0.004310344827586207,0.5203836930455635,0.125,0.0,0.8128834355828221
Liger (UMAP),0.4202088300583738,0.0,0.7381209503239741,0.6371681415929203,0.16004813477737664,0.6893004115226338,0.0,0.1806167400881057,0.9573346116970278,0.002232142857142857,0.0,0.0,0.0,0.0,0.0,0.14358974358974358,0.0,0.014124293785310734,0.0,0.34772182254196643,0.125,0.0,0.7239263803680982
Liger (UMAP),0.39505056318342513,0.0,0.6187904967602592,0.5985518905872889,0.4055354993983153,0.7139917695473251,0.0,0.15859030837004404,0.8509108341323106,0.0,0.0,0.004158004158004158,0.0,0.0,0.0,0.1564102564102564,0.0,0.011299435028248588,0.0,0.2038369304556355,0.08333333333333333,0.0,0.8159509202453987
Seurat,0.7827016361095125,0.9462209302325579,0.897408207343413,0.8334674175382142,0.085439229843562,0.9526748971193421,0.6032608695652171,0.876651982378855,0.98274209012464,0.191964285714286,0.8875,0.7234927234927242,0.9883177570093459,0.424418604651163,0.0,0.933333333333333,0.918032786885246,0.9435028248587571,0.706896551724138,0.26378896882493996,0.0,0.9335664335664341,0.622699386503067
SiaNN,0.7939653046123489,0.9215116279069768,0.8407127429805615,0.7948511665325825,0.3778580024067389,0.9320987654320988,0.7445652173913043,0.9074889867841408,0.9443911792905082,0.2388392857142857,0.775,0.9334719334719336,0.9439252336448598,0.7383720930232558,0.07894736842105263,0.8666666666666667,0.860655737704918,0.9152542372881356,0.7629310344827587,0.4460431654676259,0.4166666666666667,0.4685314685314685,0.8466257668711656
bindSC,0.48548877743977636,0.0007267441860465116,0.8137149028077754,0.7916331456154465,0.18772563176895307,0.8456790123456791,0.0,0.5770925110132159,0.9463087248322148,0.004464285714285714,0.00625,0.002079002079002079,0.0,0.0,0.0,0.8384615384615385,0.0,0.002824858757062147,0.0,0.4388489208633093,0.0,0.0,0.6932515337423313
