p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.523577681,0.409,0.188,0,6-7,IFI44
0,0.519355245,0.655,0.419,0,6-7,XAF1
0,0.51179958,0.438,0.206,0,6-7,IFI44L
0,0.508526396,0.615,0.375,0,6-7,PLAC8
0,0.506394687,0.45,0.24,0,6-7,CCR1
0,0.499145812,0.692,0.496,0,6-7,CD63
0,0.498548336,0.666,0.503,0,6-7,LGALS1
0,0.495206879,0.966,0.871,0,6-7,VCAN
0,0.493044914,0.202,0.062,0,6-7,HP
0,0.486451617,0.512,0.324,0,6-7,HMGB2
0,0.486366972,0.51,0.207,0,6-7,IFI27
0,0.485351672,0.314,0.125,0,6-7,C3AR1
0,0.48225545,0.815,0.692,0,6-7,PKM
0,0.452935516,0.749,0.576,0,6-7,FPR1
0,0.44710547,0.485,0.286,0,6-7,ANPEP
0,0.444734717,0.526,0.241,0,6-7,IFI6
0,0.441609728,0.473,0.271,0,6-7,PARP9
0,0.439834087,0.866,0.784,0,6-7,CTSB
0,0.424000241,0.358,0.181,0,6-7,F5
0,0.419906662,0.884,0.779,0,6-7,GRN
0,0.416879185,0.151,0.032,0,6-7,IGHG1
0,0.416744308,0.803,0.657,0,6-7,SELL
0,0.373632159,0.235,0.084,0,6-7,MS4A4A
0,0.36336059,0.868,0.768,0,6-7,MNDA
0,0.360428644,0.132,0.029,0,6-7,IGHG2
0,0.342914503,0.183,0.055,0,6-7,FAM20A
0,0.322366,0.103,0.014,0,6-7,IGHG4
1.0261E-306,0.456753601,0.571,0.385,3.5451E-302,6-7,ACSL1
3.0208E-301,0.417399159,0.323,0.156,1.0436E-296,6-7,NFE2
1.791E-293,0.411625549,0.689,0.549,6.1877E-289,6-7,SERPINB1
6.2783E-290,0.38405336,0.367,0.19,2.169E-285,6-7,FCGR1A
5.4506E-285,0.39929516,0.348,0.179,1.8831E-280,6-7,B4GALT5
