p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
4.37397E-05,0.274084366,0.374,0.354,1,1-3,RBM25
4.6122E-05,0.269140174,0.271,0.238,1,1-3,KLF3
5.87416E-05,0.286187202,0.145,0.113,1,1-3,HCG18
8.01693E-05,0.280535844,0.112,0.083,1,1-3,JMJD6
0.000113792,0.250717881,0.322,0.296,1,1-3,UBTF
0.000132737,0.301920644,0.151,0.12,1,1-3,ITGA6
0.000151423,0.275341888,0.241,0.213,1,1-3,DNTTIP2
0.000162416,0.260902556,0.122,0.092,1,1-3,IRS2
0.000226314,0.253582192,0.11,0.083,1,1-3,GOLIM4
0.000270694,0.25800365,0.125,0.097,1,1-3,EIF1AX
0.000277569,0.254013572,0.137,0.109,1,1-3,KAT7
0.000381487,0.264149916,0.387,0.371,1,1-3,NCAM1
0.000466629,0.255233075,0.319,0.299,1,1-3,LYN
0.000564543,0.281241283,0.283,0.263,1,1-3,DDX24
0.000617927,0.255926933,0.166,0.139,1,1-3,ELF2
0.000675207,0.310573261,0.122,0.095,1,1-3,ZNF331
0.000711985,0.272237599,0.319,0.294,1,1-3,SELL
0.000835094,0.280640764,0.324,0.31,1,1-3,ZFP36
0.000940312,0.297735376,0.227,0.203,1,1-3,JMJD1C
0.000976369,0.281424054,0.233,0.208,1,1-3,CHD9
0.001011922,0.25945032,0.185,0.161,1,1-3,WBP11
0.001042754,0.287389285,0.152,0.127,1,1-3,ITPRIP
0.001233006,0.263491582,0.272,0.254,1,1-3,EIF3F
0.00125714,0.265255538,0.114,0.09,1,1-3,NFE2L2
0.001287573,0.251227149,0.163,0.137,1,1-3,TC2N
0.001815261,0.252395074,0.19,0.166,1,1-3,CBX4
0.002185548,0.275364691,0.264,0.25,1,1-3,UBE2G2
0.002464407,0.265986471,0.203,0.18,1,1-3,BTAF1
0.002515523,0.271395544,0.237,0.22,1,1-3,AUP1
0.003011362,0.268991153,0.303,0.295,1,1-3,CLK1
0.004723994,0.262948055,0.252,0.234,1,1-3,KAT6B
0.00640496,0.250168748,0.216,0.198,1,1-3,YPEL5
0.009783795,0.273028649,0.18,0.163,1,1-3,APC
